route_id,source_lat,source_lon,dest_lat,dest_lon,distance_km,duration_min,num_turns,weather,temperature_C,time_of_day,day_of_week,label,traffic_density
"(30.712, 76.7735)-(30.7343, 76.7795)-R3",76.7735000 ,30.7120000 ,76.7795000 ,30.7343000 ,5.360 ,9.1500000 ,109,Clouds,-11.15,10:03,Wednesday,0,99
"(30.71832, 76.712983)-(30.772334, 76.76188)-R1",76.7129830 ,30.7183200 ,76.7618800 ,30.7723340 ,4.360 ,8.3700000 ,39,Fog,17.63,15:45,Tuesday,1,23
"(30.694129, 76.816306)-(30.760318, 76.73835)-R2",76.8163060 ,30.6941290 ,76.7383500 ,30.7603180 ,7.030 ,13.6700000 ,34,Rain,29.8,12:30,Wednesday,0,2
"(30.726434, 76.717235)-(30.673473, 76.744651)-R3",76.7172350 ,30.7264340 ,76.7446510 ,30.6734730 ,6.890 ,13.1200000 ,26,Clear,21.14,21:10,Tuesday,0,21
"(30.713901, 76.825865)-(30.735771, 76.798305)-R4",76.8258650 ,30.7139010 ,76.7983050 ,30.7357710 ,3.710 ,6.9500000 ,89,Clouds,17.66,15:45,Thursday,0,52
"(30.767607, 76.730384)-(30.771493, 76.701442)-R5",76.7303840 ,30.7676070 ,76.7014420 ,30.7714930 ,7.010 ,13.9300000 ,69,Clouds,27.49,18:20,Friday,0,1
"(30.744054, 76.804369)-(30.769738, 76.768865)-R6",76.8043690 ,30.7440540 ,76.7688650 ,30.7697380 ,7.440 ,11.9400000 ,94,Rain,18.88,18:20,Thursday,0,87
"(30.697881, 76.755248)-(30.679914, 76.798321)-R7",76.7552480 ,30.6978810 ,76.7983210 ,30.6799140 ,7.120 ,12.8900000 ,39,Clouds,14.89,12:30,Thursday,0,29
"(30.720409, 76.838102)-(30.760962, 76.750817)-R8",76.8381020 ,30.7204090 ,76.7508170 ,30.7609620 ,5.090 ,10.0400000 ,108,Rain,-3.21,12:30,Friday,0,37
"(30.719871, 76.721572)-(30.765601, 76.81506)-R9",76.7215720 ,30.7198710 ,76.8150600 ,30.7656010 ,7.050 ,10.9200000 ,81,Rain,10.12,21:10,Thursday,0,1
"(30.74294, 76.769699)-(30.714179, 76.711926)-R10",76.7696990 ,30.7429400 ,76.7119260 ,30.7141790 ,1.480 ,2.3500000 ,85,Rain,22.66,12:30,Friday,0,63
"(30.759621, 76.734197)-(30.749231, 76.724085)-R11",76.7341970 ,30.7596210 ,76.7240850 ,30.7492310 ,5.080 ,8.6500000 ,63,Clear,9.04,12:30,Tuesday,0,59
"(30.717135, 76.815403)-(30.683553, 76.762159)-R12",76.8154030 ,30.7171350 ,76.7621590 ,30.6835530 ,5.850 ,9.7600000 ,113,Rain,27.09,12:30,Sunday,0,20
"(30.710758, 76.837217)-(30.681792, 76.830349)-R13",76.8372170 ,30.7107580 ,76.8303490 ,30.6817920 ,6.280 ,11.7800000 ,55,Rain,16.06,18:20,Thursday,0,32
"(30.774978, 76.700849)-(30.685015, 76.794427)-R14",76.7008490 ,30.7749780 ,76.7944270 ,30.6850150 ,1.560 ,2.7100000 ,103,Fog,19.23,15:45,Saturday,0,75
"(30.712551, 76.809873)-(30.767332, 76.828405)-R15",76.8098730 ,30.7125510 ,76.8284050 ,30.7673320 ,6.810 ,11.0000000 ,111,Rain,24.12,15:45,Sunday,0,57
"(30.709013, 76.843599)-(30.778332, 76.788341)-R16",76.8435990 ,30.7090130 ,76.7883410 ,30.7783320 ,4.570 ,7.9900000 ,119,Rain,0.3,21:10,Sunday,0,21
"(30.763424, 76.781325)-(30.694677, 76.812709)-R17",76.7813250 ,30.7634240 ,76.8127090 ,30.6946770 ,1.800 ,3.1600000 ,56,Clear,11.77,18:20,Tuesday,0,88
"(30.677653, 76.714791)-(30.736417, 76.737059)-R18",76.7147910 ,30.6776530 ,76.7370590 ,30.7364170 ,2.770 ,5.2200000 ,42,Clouds,6.48,8:00,Monday,1,48
"(30.675378, 76.755813)-(30.690178, 76.841291)-R19",76.7558130 ,30.6753780 ,76.8412910 ,30.6901780 ,4.470 ,7.1600000 ,25,Fog,16.14,8:00,Monday,1,90
"(30.773062, 76.767716)-(30.67417, 76.740216)-R20",76.7677160 ,30.7730620 ,76.7402160 ,30.6741700 ,5.110 ,7.9200000 ,39,Rain,-2.09,18:20,Saturday,0,58
"(30.721928, 76.716736)-(30.728449, 76.845678)-R21",76.7167360 ,30.7219280 ,76.8456780 ,30.7284490 ,6.150 ,10.7400000 ,75,Fog,27.11,21:10,Thursday,0,41
"(30.697812, 76.827235)-(30.726688, 76.774519)-R22",76.8272350 ,30.6978120 ,76.7745190 ,30.7266880 ,1.780 ,2.9000000 ,74,Clouds,-4.21,12:30,Wednesday,0,91
"(30.672499, 76.842189)-(30.672651, 76.732552)-R23",76.8421890 ,30.6724990 ,76.7325520 ,30.6726510 ,6.400 ,9.7200000 ,69,Clear,1.35,15:45,Tuesday,0,59
"(30.730489, 76.733863)-(30.778029, 76.783869)-R24",76.7338630 ,30.7304890 ,76.7838690 ,30.7780290 ,3.310 ,6.3300000 ,96,Clear,-0.4,12:30,Sunday,0,79
"(30.778242, 76.747345)-(30.75273, 76.848193)-R25",76.7473450 ,30.7782420 ,76.8481930 ,30.7527300 ,1.350 ,2.3700000 ,86,Rain,15.05,18:20,Monday,0,14
"(30.764278, 76.790046)-(30.674917, 76.806561)-R26",76.7900460 ,30.7642780 ,76.8065610 ,30.6749170 ,4.960 ,9.5400000 ,80,Fog,4.46,15:45,Saturday,0,61
"(30.715627, 76.752548)-(30.71424, 76.839092)-R27",76.7525480 ,30.7156270 ,76.8390920 ,30.7142400 ,2.330 ,4.2100000 ,44,Clear,-2.92,8:00,Saturday,1,61
"(30.753059, 76.725724)-(30.768446, 76.837151)-R28",76.7257240 ,30.7530590 ,76.8371510 ,30.7684460 ,1.720 ,3.1000000 ,26,Fog,29.54,8:00,Sunday,1,46
"(30.771083, 76.804404)-(30.700493, 76.723047)-R29",76.8044040 ,30.7710830 ,76.7230470 ,30.7004930 ,2.360 ,4.0200000 ,35,Fog,-1.84,8:00,Friday,1,61
"(30.695522, 76.745639)-(30.730066, 76.72277)-R30",76.7456390 ,30.6955220 ,76.7227700 ,30.7300660 ,6.570 ,13.0900000 ,85,Fog,-4.14,21:10,Monday,0,50
"(30.68136, 76.708237)-(30.752864, 76.810119)-R31",76.7082370 ,30.6813600 ,76.8101190 ,30.7528640 ,1.750 ,2.7300000 ,58,Rain,23.84,15:45,Friday,0,54
"(30.726528, 76.805964)-(30.754667, 76.736511)-R32",76.8059640 ,30.7265280 ,76.7365110 ,30.7546670 ,2.580 ,4.1800000 ,23,Clouds,15.95,15:45,Thursday,1,63
"(30.719544, 76.776409)-(30.752395, 76.785044)-R33",76.7764090 ,30.7195440 ,76.7850440 ,30.7523950 ,4.180 ,6.5600000 ,50,Rain,5.11,21:10,Friday,0,2
"(30.728559, 76.750017)-(30.700177, 76.767044)-R34",76.7500170 ,30.7285590 ,76.7670440 ,30.7001770 ,7.290 ,14.5500000 ,92,Fog,21.91,15:45,Monday,0,100
"(30.673086, 76.80495)-(30.775612, 76.718315)-R35",76.8049500 ,30.6730860 ,76.7183150 ,30.7756120 ,1.020 ,1.9900000 ,24,Clouds,14.93,8:00,Sunday,1,50
"(30.717512, 76.722015)-(30.76606, 76.76398)-R36",76.7220150 ,30.7175120 ,76.7639800 ,30.7660600 ,7.860 ,13.7700000 ,37,Rain,29.49,21:10,Sunday,0,6
"(30.725692, 76.786078)-(30.724465, 76.766986)-R37",76.7860780 ,30.7256920 ,76.7669860 ,30.7244650 ,5.260 ,8.1300000 ,58,Clear,-4.58,15:45,Monday,0,20
"(30.779575, 76.83264)-(30.748023, 76.755054)-R38",76.8326400 ,30.7795750 ,76.7550540 ,30.7480230 ,5.870 ,8.9700000 ,78,Rain,8.24,21:10,Saturday,0,72
"(30.75398, 76.737817)-(30.699729, 76.849093)-R39",76.7378170 ,30.7539800 ,76.8490930 ,30.6997290 ,2.670 ,4.8500000 ,13,Rain,-4.35,12:30,Friday,1,38
"(30.693021, 76.791175)-(30.676763, 76.762794)-R40",76.7911750 ,30.6930210 ,76.7627940 ,30.6767630 ,7.310 ,14.0000000 ,40,Clear,-1.17,12:30,Friday,0,17
"(30.741643, 76.793781)-(30.680318, 76.787068)-R41",76.7937810 ,30.7416430 ,76.7870680 ,30.6803180 ,2.680 ,4.5300000 ,74,Clear,26.9,21:10,Sunday,0,3
"(30.688784, 76.841932)-(30.680095, 76.725403)-R42",76.8419320 ,30.6887840 ,76.7254030 ,30.6800950 ,2.340 ,3.5800000 ,71,Clear,10.15,21:10,Thursday,0,88
"(30.755838, 76.817367)-(30.738141, 76.774486)-R43",76.8173670 ,30.7558380 ,76.7744860 ,30.7381410 ,3.220 ,5.3300000 ,116,Clouds,23.66,15:45,Wednesday,0,59
"(30.741235, 76.747344)-(30.750183, 76.724821)-R44",76.7473440 ,30.7412350 ,76.7248210 ,30.7501830 ,1.410 ,2.1900000 ,72,Rain,-0.4,8:00,Monday,0,13
"(30.677859, 76.731103)-(30.775845, 76.712628)-R45",76.7311030 ,30.6778590 ,76.7126280 ,30.7758450 ,3.270 ,6.0100000 ,59,Fog,0.87,12:30,Monday,0,8
"(30.741866, 76.702102)-(30.688117, 76.768193)-R46",76.7021020 ,30.7418660 ,76.7681930 ,30.6881170 ,7.600 ,14.1200000 ,41,Rain,29.95,8:00,Thursday,0,89
"(30.713437, 76.726073)-(30.767601, 76.778022)-R47",76.7260730 ,30.7134370 ,76.7780220 ,30.7676010 ,2.430 ,3.7200000 ,65,Fog,2.17,18:20,Thursday,0,52
"(30.691405, 76.772272)-(30.777791, 76.796361)-R48",76.7722720 ,30.6914050 ,76.7963610 ,30.7777910 ,4.260 ,7.5400000 ,13,Clouds,0.85,18:20,Friday,1,1
"(30.724809, 76.714428)-(30.724184, 76.84668)-R49",76.7144280 ,30.7248090 ,76.8466800 ,30.7241840 ,3.820 ,7.2100000 ,93,Rain,8.08,18:20,Thursday,0,83
"(30.68584, 76.83702)-(30.684174, 76.824779)-R50",76.8370200 ,30.6858400 ,76.8247790 ,30.6841740 ,1.180 ,1.9700000 ,35,Rain,22.43,21:10,Tuesday,1,91
"(30.708701, 76.780144)-(30.739218, 76.732514)-R51",76.7801440 ,30.7087010 ,76.7325140 ,30.7392180 ,3.300 ,5.6500000 ,46,Clear,24.71,15:45,Thursday,1,59
"(30.703965, 76.715051)-(30.706156, 76.80675)-R52",76.7150510 ,30.7039650 ,76.8067500 ,30.7061560 ,6.210 ,11.3900000 ,84,Rain,0.99,8:00,Saturday,0,70
"(30.699134, 76.732397)-(30.705274, 76.82823)-R53",76.7323970 ,30.6991340 ,76.8282300 ,30.7052740 ,3.480 ,5.6700000 ,116,Clouds,19.6,8:00,Tuesday,0,43
"(30.769307, 76.770745)-(30.734492, 76.712339)-R54",76.7707450 ,30.7693070 ,76.7123390 ,30.7344920 ,4.770 ,8.6400000 ,113,Rain,4.65,18:20,Saturday,0,7
"(30.738111, 76.820578)-(30.762531, 76.763643)-R55",76.8205780 ,30.7381110 ,76.7636430 ,30.7625310 ,1.590 ,2.9400000 ,15,Clouds,5.19,15:45,Wednesday,1,46
"(30.732204, 76.709616)-(30.751112, 76.847692)-R56",76.7096160 ,30.7322040 ,76.8476920 ,30.7511120 ,7.930 ,15.6300000 ,80,Rain,12.99,21:10,Wednesday,0,34
"(30.74446, 76.77753)-(30.753038, 76.738349)-R57",76.7775300 ,30.7444600 ,76.7383490 ,30.7530380 ,1.130 ,2.1000000 ,86,Clear,10.81,8:00,Thursday,0,77
"(30.731791, 76.81263)-(30.746818, 76.73248)-R58",76.8126300 ,30.7317910 ,76.7324800 ,30.7468180 ,5.220 ,8.0800000 ,81,Clear,20.73,15:45,Monday,0,80
"(30.753447, 76.828497)-(30.683224, 76.829464)-R59",76.8284970 ,30.7534470 ,76.8294640 ,30.6832240 ,6.460 ,10.4200000 ,77,Clouds,25.86,12:30,Saturday,0,35
"(30.706284, 76.797923)-(30.700321, 76.724799)-R60",76.7979230 ,30.7062840 ,76.7247990 ,30.7003210 ,4.370 ,7.3000000 ,52,Fog,12.43,15:45,Tuesday,0,49
"(30.710644, 76.813609)-(30.719528, 76.816986)-R61",76.8136090 ,30.7106440 ,76.8169860 ,30.7195280 ,1.720 ,2.9200000 ,79,Rain,14.39,8:00,Sunday,0,3
"(30.761441, 76.833746)-(30.69292, 76.815273)-R62",76.8337460 ,30.7614410 ,76.8152730 ,30.6929200 ,1.630 ,3.2100000 ,35,Clouds,11.03,8:00,Monday,1,1
"(30.74288, 76.755801)-(30.747666, 76.848068)-R63",76.7558010 ,30.7428800 ,76.8480680 ,30.7476660 ,3.210 ,5.2900000 ,62,Clear,-3.74,18:20,Thursday,0,5
"(30.733605, 76.803513)-(30.747732, 76.755807)-R64",76.8035130 ,30.7336050 ,76.7558070 ,30.7477320 ,6.060 ,10.8500000 ,40,Clear,18.04,21:10,Saturday,0,53
"(30.694636, 76.722104)-(30.752965, 76.768507)-R65",76.7221040 ,30.6946360 ,76.7685070 ,30.7529650 ,4.240 ,7.5700000 ,55,Fog,9.59,21:10,Wednesday,0,3
"(30.684419, 76.754055)-(30.771858, 76.818648)-R66",76.7540550 ,30.6844190 ,76.8186480 ,30.7718580 ,1.990 ,3.8600000 ,84,Rain,12.03,8:00,Sunday,0,53
"(30.745588, 76.815893)-(30.752385, 76.812538)-R67",76.8158930 ,30.7455880 ,76.8125380 ,30.7523850 ,6.070 ,9.4200000 ,39,Rain,-0.62,21:10,Tuesday,0,92
"(30.678683, 76.728579)-(30.773419, 76.773591)-R68",76.7285790 ,30.6786830 ,76.7735910 ,30.7734190 ,4.370 ,8.0900000 ,112,Clouds,17.28,8:00,Sunday,0,62
"(30.676398, 76.762354)-(30.729444, 76.762813)-R69",76.7623540 ,30.6763980 ,76.7628130 ,30.7294440 ,7.160 ,13.3400000 ,55,Clear,-2.97,15:45,Monday,0,17
"(30.699759, 76.816374)-(30.721801, 76.755574)-R70",76.8163740 ,30.6997590 ,76.7555740 ,30.7218010 ,1.560 ,2.6600000 ,56,Clear,28.1,8:00,Tuesday,0,89
"(30.698957, 76.741345)-(30.737139, 76.836063)-R71",76.7413450 ,30.6989570 ,76.8360630 ,30.7371390 ,4.430 ,7.0100000 ,58,Clouds,-4.1,15:45,Thursday,0,43
"(30.678591, 76.82567)-(30.728887, 76.735762)-R72",76.8256700 ,30.6785910 ,76.7357620 ,30.7288870 ,6.570 ,11.1400000 ,119,Fog,26.5,12:30,Sunday,0,33
"(30.752045, 76.84554)-(30.762521, 76.786031)-R73",76.8455400 ,30.7520450 ,76.7860310 ,30.7625210 ,3.300 ,5.8100000 ,76,Fog,-0.93,15:45,Monday,0,73
"(30.715088, 76.805943)-(30.720932, 76.701038)-R74",76.8059430 ,30.7150880 ,76.7010380 ,30.7209320 ,3.000 ,4.7400000 ,100,Clouds,16.47,21:10,Monday,0,61
"(30.687716, 76.825614)-(30.672614, 76.792329)-R75",76.8256140 ,30.6877160 ,76.7923290 ,30.6726140 ,5.710 ,8.9400000 ,62,Fog,22.34,8:00,Saturday,0,99
"(30.768189, 76.842776)-(30.769554, 76.798122)-R76",76.8427760 ,30.7681890 ,76.7981220 ,30.7695540 ,1.200 ,2.2900000 ,23,Clouds,15.31,12:30,Sunday,1,13
"(30.762455, 76.79699)-(30.702872, 76.797631)-R77",76.7969900 ,30.7624550 ,76.7976310 ,30.7028720 ,5.890 ,11.5100000 ,114,Fog,28.44,15:45,Wednesday,0,94
"(30.721754, 76.752402)-(30.744835, 76.720717)-R78",76.7524020 ,30.7217540 ,76.7207170 ,30.7448350 ,5.720 ,9.6000000 ,77,Rain,2.31,15:45,Thursday,0,47
"(30.712711, 76.727387)-(30.752196, 76.798835)-R79",76.7273870 ,30.7127110 ,76.7988350 ,30.7521960 ,1.610 ,2.9900000 ,57,Clear,17.13,15:45,Sunday,0,14
"(30.719292, 76.794042)-(30.682447, 76.812851)-R80",76.7940420 ,30.7192920 ,76.8128510 ,30.6824470 ,2.780 ,5.1100000 ,120,Clear,-0.25,12:30,Wednesday,0,71
"(30.719053, 76.729807)-(30.735846, 76.725734)-R81",76.7298070 ,30.7190530 ,76.7257340 ,30.7358460 ,3.720 ,6.2800000 ,101,Fog,7.64,21:10,Saturday,0,77
"(30.778171, 76.737386)-(30.767699, 76.80283)-R82",76.7373860 ,30.7781710 ,76.8028300 ,30.7676990 ,2.600 ,4.7500000 ,30,Clouds,17.91,8:00,Tuesday,1,86
"(30.708745, 76.746172)-(30.672815, 76.791848)-R83",76.7461720 ,30.7087450 ,76.7918480 ,30.6728150 ,3.620 ,5.7000000 ,117,Rain,3.28,8:00,Saturday,0,61
"(30.764842, 76.811954)-(30.748924, 76.788208)-R84",76.8119540 ,30.7648420 ,76.7882080 ,30.7489240 ,3.900 ,7.6700000 ,16,Clouds,3.14,18:20,Thursday,1,39
"(30.739076, 76.80385)-(30.738531, 76.723897)-R85",76.8038500 ,30.7390760 ,76.7238970 ,30.7385310 ,4.180 ,6.8000000 ,111,Rain,11.75,21:10,Monday,0,84
"(30.749876, 76.831516)-(30.680431, 76.71774)-R86",76.8315160 ,30.7498760 ,76.7177400 ,30.6804310 ,1.080 ,1.8300000 ,93,Rain,-4.12,21:10,Saturday,0,79
"(30.697656, 76.706039)-(30.718431, 76.718665)-R87",76.7060390 ,30.6976560 ,76.7186650 ,30.7184310 ,1.750 ,3.0400000 ,49,Rain,17.07,8:00,Thursday,1,81
"(30.773772, 76.823636)-(30.702021, 76.708321)-R88",76.8236360 ,30.7737720 ,76.7083210 ,30.7020210 ,4.440 ,7.8300000 ,40,Rain,1.3,8:00,Wednesday,1,52
"(30.695062, 76.719241)-(30.696407, 76.836895)-R89",76.7192410 ,30.6950620 ,76.8368950 ,30.6964070 ,5.330 ,10.0800000 ,98,Clear,20.26,12:30,Saturday,0,23
"(30.71921, 76.827463)-(30.702024, 76.712394)-R90",76.8274630 ,30.7192100 ,76.7123940 ,30.7020240 ,4.620 ,8.4900000 ,77,Clear,17.72,12:30,Tuesday,0,25
"(30.723326, 76.723272)-(30.680453, 76.789422)-R91",76.7232720 ,30.7233260 ,76.7894220 ,30.6804530 ,1.120 ,2.0200000 ,26,Fog,18.12,15:45,Saturday,1,88
"(30.697929, 76.731041)-(30.693503, 76.742676)-R92",76.7310410 ,30.6979290 ,76.7426760 ,30.6935030 ,3.800 ,7.1100000 ,114,Clouds,9.56,15:45,Saturday,0,59
"(30.69066, 76.825486)-(30.678717, 76.839491)-R93",76.8254860 ,30.6906600 ,76.8394910 ,30.6787170 ,5.180 ,8.3500000 ,73,Rain,26.27,18:20,Friday,0,40
"(30.757448, 76.845699)-(30.735791, 76.761365)-R94",76.8456990 ,30.7574480 ,76.7613650 ,30.7357910 ,7.500 ,12.8200000 ,21,Rain,11.94,21:10,Sunday,0,28
"(30.753087, 76.785405)-(30.729548, 76.758513)-R95",76.7854050 ,30.7530870 ,76.7585130 ,30.7295480 ,4.970 ,9.1100000 ,100,Clear,-1.91,21:10,Friday,0,14
"(30.726241, 76.737736)-(30.709499, 76.718139)-R96",76.7377360 ,30.7262410 ,76.7181390 ,30.7094990 ,2.800 ,5.3900000 ,39,Rain,22.89,12:30,Monday,1,44
"(30.706504, 76.7969)-(30.687659, 76.800927)-R97",76.7969000 ,30.7065040 ,76.8009270 ,30.6876590 ,7.120 ,13.4000000 ,45,Clear,10.02,8:00,Sunday,0,64
"(30.702396, 76.798262)-(30.736365, 76.76328)-R98",76.7982620 ,30.7023960 ,76.7632800 ,30.7363650 ,1.990 ,3.2700000 ,56,Clear,25.67,21:10,Saturday,0,88
"(30.756422, 76.836269)-(30.706349, 76.822687)-R99",76.8362690 ,30.7564220 ,76.8226870 ,30.7063490 ,6.970 ,10.9600000 ,103,Clear,14.58,12:30,Saturday,0,70
"(30.773974, 76.712921)-(30.774402, 76.703699)-R100",76.7129210 ,30.7739740 ,76.7036990 ,30.7744020 ,5.870 ,10.4900000 ,86,Fog,17.34,18:20,Friday,0,8
"(30.687716, 76.825614)-(30.672614, 76.792329)-R75",30.75747818,76.79030506,30.77296991,76.82063391,4.406 ,6.047422506,7,rainy,23,afternoon,Thursday,1,65
"(30.688784, 76.841932)-(30.680095, 76.725403)-R42",30.77739996,76.79072537,30.70101772,76.74015334,14.202 ,4.393862671,10,rainy,26,night,Thursday,1,252
"(30.687716, 76.825614)-(30.672614, 76.792329)-R75",30.7286023,76.77390326,30.71884206,76.78735484,2.461 ,12.79049755,2,sunny,31,night,Thursday,1,84
"(30.717135, 76.815403)-(30.683553, 76.762159)-R12",30.73825399,76.75657911,30.70503554,76.81569128,10.998 ,4.459002948,4,foggy,16,morning,Thursday,1,357
"(30.739076, 76.80385)-(30.738531, 76.723897)-R85",30.73497897,76.81542363,30.74365024,76.7565678,8.068 ,10.29449567,6,foggy,16,afternoon,Thursday,1,180
"(30.774978, 76.700849)-(30.685015, 76.794427)-R14",30.75627729,76.74872568,30.71079949,76.73510659,7.425 ,7.405391977,10,sunny,28,afternoon,Thursday,1,210
"(30.712711, 76.727387)-(30.752196, 76.798835)-R79",30.71712916,76.76909498,30.77723794,76.74255355,9.335 ,18.27358415,5,rainy,22,night,Thursday,1,416
"(30.741643, 76.793781)-(30.680318, 76.787068)-R41",30.71615493,76.81203932,30.74737238,76.78962341,5.950 ,7.568377558,4,foggy,19,morning,Thursday,1,222
"(30.710758, 76.837217)-(30.681792, 76.830349)-R13",30.69493679,76.77351079,30.70153854,76.77686001,1.147 ,5.588256688,8,foggy,18,morning,Thursday,0,2
"(30.744054, 76.804369)-(30.769738, 76.768865)-R6",30.73791235,76.74251333,30.76128964,76.8236142,10.997 ,11.68824448,6,cloudy,23,morning,Thursday,1,254
"(30.7415, 76.7794)-(30.7221, 76.7417)-R1",30.73495665,76.79735328,30.74913932,76.77131361,3.966 ,3.380246206,5,cloudy,27,evening,Thursday,1,160
"(30.753447, 76.828497)-(30.683224, 76.829464)-R59",30.75806264,76.73954121,30.74442933,76.81778441,9.840 ,5.194612936,8,rainy,23,afternoon,Thursday,1,243
"(30.721928, 76.716736)-(30.728449, 76.845678)-R21",30.69080564,76.759157,30.76847374,76.73729233,12.396 ,14.43620622,4,sunny,29,morning,Thursday,1,372
"(30.68584, 76.83702)-(30.684174, 76.824779)-R50",30.68881769,76.8017396,30.6911109,76.7603341,6.122 ,8.104804108,6,foggy,20,night,Thursday,1,171
"(30.694636, 76.722104)-(30.752965, 76.768507)-R65",30.76412494,76.75337,30.71854887,76.81330256,9.311 ,6.85780157,4,cloudy,27,evening,Thursday,1,354
"(30.697812, 76.827235)-(30.726688, 76.774519)-R22",30.70859108,76.76299524,30.69193935,76.73612295,4.555 ,3.798246204,3,sunny,32,afternoon,Thursday,1,152
"(30.7522, 76.8008)-(30.752, 76.81)-R2",30.7516579,76.76899368,30.7399784,76.76439906,2.627 ,4.893619392,3,cloudy,25,night,Thursday,1,71
"(30.7192, 76.7636)-(30.7035, 76.8024)-R3",30.77405766,76.77010949,30.77231215,76.77983885,2.017 ,0.885691937,10,rainy,22,morning,Thursday,1,63
"(30.749876, 76.831516)-(30.680431, 76.71774)-R86",30.69015074,76.8166734,30.69331519,76.73947707,11.443 ,6.269041081,3,foggy,18,afternoon,Thursday,1,430
"(30.768189, 76.842776)-(30.769554, 76.798122)-R76",30.69802278,76.75273514,30.77699125,76.76189243,12.392 ,10.17212145,8,rainy,22,morning,Thursday,1,324
"(30.778171, 76.737386)-(30.767699, 76.80283)-R82",30.73909589,76.74700179,30.72641778,76.75486852,3.485 ,7.063917425,9,foggy,19,morning,Thursday,1,103
"(30.753059, 76.725724)-(30.768446, 76.837151)-R28",30.77439761,76.79502656,30.70039547,76.77162743,12.581 ,9.243504187,10,cloudy,27,night,Thursday,1,379
"(30.712551, 76.809873)-(30.767332, 76.828405)-R15",30.6916036,76.81367217,30.72585597,76.77842007,6.717 ,6.715905099,5,sunny,29,evening,Thursday,1,405
"(30.677653, 76.714791)-(30.736417, 76.737059)-R18",30.74518776,76.79637846,30.72264437,76.73948505,7.250 ,14.21439599,8,cloudy,25,night,Thursday,1,210
"(30.712, 76.7735)-(30.7343, 76.7795)-R1",30.73640158,76.78862605,30.76839648,76.74002035,7.470 ,0.490549607,8,sunny,30,afternoon,Thursday,1,173
"(30.7522, 76.8008)-(30.752, 76.81)-R2",30.68957184,76.81618406,30.7664706,76.77337609,11.273 ,6.510353891,3,rainy,23,afternoon,Thursday,1,521
"(30.730489, 76.733863)-(30.778029, 76.783869)-R24",30.71237281,76.76705206,30.69944401,76.7715342,2.311 ,12.55637005,4,cloudy,27,evening,Thursday,0,60
"(30.708745, 76.746172)-(30.672815, 76.791848)-R83",30.74978988,76.77295529,30.76839909,76.75675488,3.753 ,3.64368614,7,sunny,29,night,Thursday,1,84
"(30.71832, 76.712983)-(30.772334, 76.76188)-R1",30.75083812,76.81233009,30.71366792,76.74088483,9.117 ,9.854526515,5,rainy,26,night,Thursday,1,273
"(30.7522, 76.8008)-(30.752, 76.81)-R2",30.72435354,76.77760271,30.72776638,76.78409101,1.111 ,6.996396321,2,rainy,23,morning,Thursday,0,29
"(30.767607, 76.730384)-(30.771493, 76.701442)-R5",30.77617934,76.77733231,30.70412577,76.80429073,10.957 ,9.040615641,3,foggy,17,evening,Thursday,1,405
